array_row_index,sequence_id,asset_id,lbw,split,start_timestamp,end_timestamp,start_timeline_index,end_timeline_index
0,AAPL__lbw_63__train__00000313,AAPL,63,train,2008-06-03T00:00:00,2008-08-16T00:00:00,313,375
1,AAPL__lbw_63__train__00000376,AAPL,63,train,2008-08-18T00:00:00,2008-10-30T00:00:00,376,438
2,AAPL__lbw_63__train__00000439,AAPL,63,train,2008-10-31T00:00:00,2009-01-14T00:00:00,439,501
3,AAPL__lbw_63__train__00000502,AAPL,63,train,2009-01-15T00:00:00,2009-03-31T00:00:00,502,564
4,AAPL__lbw_63__train__00000565,AAPL,63,train,2009-04-01T00:00:00,2009-06-15T00:00:00,565,627
5,AAPL__lbw_63__train__00000628,AAPL,63,train,2009-06-16T00:00:00,2009-08-28T00:00:00,628,690
6,AAPL__lbw_63__train__00000691,AAPL,63,train,2009-08-29T00:00:00,2009-11-11T00:00:00,691,753
7,AAPL__lbw_63__train__00000754,AAPL,63,train,2009-11-12T00:00:00,2010-01-29T00:00:00,754,816
8,AAPL__lbw_63__train__00000817,AAPL,63,train,2010-01-30T00:00:00,2010-04-15T00:00:00,817,879
9,AAPL__lbw_63__train__00000880,AAPL,63,train,2010-04-16T00:00:00,2010-06-29T00:00:00,880,942
10,AAPL__lbw_63__train__00000943,AAPL,63,train,2010-06-30T00:00:00,2010-09-13T00:00:00,943,1005
11,AAPL__lbw_63__train__00001006,AAPL,63,train,2010-09-14T00:00:00,2010-11-25T00:00:00,1006,1068
12,AAPL__lbw_63__train__00001069,AAPL,63,train,2010-11-26T00:00:00,2011-02-10T00:00:00,1069,1131
13,AAPL__lbw_63__train__00001132,AAPL,63,train,2011-02-11T00:00:00,2011-04-27T00:00:00,1132,1194
14,AAPL__lbw_63__train__00001195,AAPL,63,train,2011-04-28T00:00:00,2011-07-12T00:00:00,1195,1257
15,AAPL__lbw_63__train__00001258,AAPL,63,train,2011-07-13T00:00:00,2011-09-24T00:00:00,1258,1320
16,AAPL__lbw_63__train__00001321,AAPL,63,train,2011-09-26T00:00:00,2011-12-08T00:00:00,1321,1383
17,AAPL__lbw_63__train__00001384,AAPL,63,train,2011-12-09T00:00:00,2012-02-24T00:00:00,1384,1446
18,AAPL__lbw_63__train__00001447,AAPL,63,train,2012-02-25T00:00:00,2012-05-09T00:00:00,1447,1509
19,AAPL__lbw_63__train__00001510,AAPL,63,train,2012-05-10T00:00:00,2012-07-24T00:00:00,1510,1572
20,AAPL__lbw_63__train__00001573,AAPL,63,train,2012-07-25T00:00:00,2012-10-06T00:00:00,1573,1635
21,AAPL__lbw_63__train__00001636,AAPL,63,train,2012-10-08T00:00:00,2012-12-22T00:00:00,1636,1698
22,AAPL__lbw_63__train__00001699,AAPL,63,train,2012-12-24T00:00:00,2013-03-09T00:00:00,1699,1761
23,AAPL__lbw_63__train__00001762,AAPL,63,train,2013-03-11T00:00:00,2013-05-23T00:00:00,1762,1824
24,AAPL__lbw_63__train__00001825,AAPL,63,train,2013-05-24T00:00:00,2013-08-07T00:00:00,1825,1887
25,AAPL__lbw_63__train__00001888,AAPL,63,train,2013-08-08T00:00:00,2013-10-21T00:00:00,1888,1950
26,AAPL__lbw_63__train__00001951,AAPL,63,train,2013-10-22T00:00:00,2014-01-04T00:00:00,1951,2013
27,AAPL__lbw_63__train__00002014,AAPL,63,train,2014-01-06T00:00:00,2014-03-21T00:00:00,2014,2076
28,AAPL__lbw_63__train__00002077,AAPL,63,train,2014-03-22T00:00:00,2014-06-05T00:00:00,2077,2139
29,AAPL__lbw_63__train__00002140,AAPL,63,train,2014-06-06T00:00:00,2014-08-20T00:00:00,2140,2202
30,AAPL__lbw_63__train__00002203,AAPL,63,train,2014-08-21T00:00:00,2014-11-03T00:00:00,2203,2265
31,AAPL__lbw_63__train__00002266,AAPL,63,train,2014-11-04T00:00:00,2015-01-17T00:00:00,2266,2328
32,AAPL__lbw_63__train__00002329,AAPL,63,train,2015-01-20T00:00:00,2015-04-03T00:00:00,2329,2391
33,AAPL__lbw_63__train__00002392,AAPL,63,train,2015-04-06T00:00:00,2015-06-18T00:00:00,2392,2454
34,AAPL__lbw_63__train__00002455,AAPL,63,train,2015-06-19T00:00:00,2015-09-01T00:00:00,2455,2517
35,AAPL__lbw_63__train__00002518,AAPL,63,train,2015-09-02T00:00:00,2015-11-14T00:00:00,2518,2580
36,AAPL__lbw_63__train__00002581,AAPL,63,train,2015-11-16T00:00:00,2016-02-01T00:00:00,2581,2643
37,AAPL__lbw_63__train__00002644,AAPL,63,train,2016-02-02T00:00:00,2016-04-16T00:00:00,2644,2706
38,AAPL__lbw_63__train__00002707,AAPL,63,train,2016-04-18T00:00:00,2016-06-30T00:00:00,2707,2769
39,AAPL__lbw_63__train__00002770,AAPL,63,train,2016-07-01T00:00:00,2016-09-14T00:00:00,2770,2832
40,AAPL__lbw_63__train__00002833,AAPL,63,train,2016-09-15T00:00:00,2016-11-28T00:00:00,2833,2895
41,AAPL__lbw_63__train__00002896,AAPL,63,train,2016-11-29T00:00:00,2017-02-13T00:00:00,2896,2958
42,AAPL__lbw_63__train__00002959,AAPL,63,train,2017-02-14T00:00:00,2017-04-29T00:00:00,2959,3021
43,AAPL__lbw_63__train__00003022,AAPL,63,train,2017-05-01T00:00:00,2017-07-14T00:00:00,3022,3084
44,AAPL__lbw_63__train__00003085,AAPL,63,train,2017-07-15T00:00:00,2017-09-27T00:00:00,3085,3147
45,AAPL__lbw_63__train__00003148,AAPL,63,train,2017-09-28T00:00:00,2017-12-11T00:00:00,3148,3210
46,AAPL__lbw_63__train__00003211,AAPL,63,train,2017-12-12T00:00:00,2018-02-27T00:00:00,3211,3273
47,AAPL__lbw_63__train__00003274,AAPL,63,train,2018-02-28T00:00:00,2018-05-12T00:00:00,3274,3336
48,AAPL__lbw_63__train__00003337,AAPL,63,train,2018-05-14T00:00:00,2018-07-27T00:00:00,3337,3399
49,AAPL__lbw_63__train__00003400,AAPL,63,train,2018-07-28T00:00:00,2018-10-10T00:00:00,3400,3462
50,AAPL__lbw_63__train__00003463,AAPL,63,train,2018-10-11T00:00:00,2018-12-24T00:00:00,3463,3525
51,AAPL__lbw_63__train__00003526,AAPL,63,train,2018-12-26T00:00:00,2019-03-11T00:00:00,3526,3588
52,AAPL__lbw_63__train__00003589,AAPL,63,train,2019-03-12T00:00:00,2019-05-24T00:00:00,3589,3651
53,AAPL__lbw_63__train__00003652,AAPL,63,train,2019-05-25T00:00:00,2019-08-08T00:00:00,3652,3714
54,AAPL__lbw_63__train__00003715,AAPL,63,train,2019-08-09T00:00:00,2019-12-17T00:00:00,3715,3777
55,AAPL__lbw_63__train__00003778,AAPL,63,train,2019-12-18T00:00:00,2020-03-19T00:00:00,3778,3840
56,AAPL__lbw_63__train__00003841,AAPL,63,train,2020-03-20T00:00:00,2020-06-18T00:00:00,3841,3903
57,AAPL__lbw_63__train__00003904,AAPL,63,train,2020-06-19T00:00:00,2020-09-17T00:00:00,3904,3966
58,AAPL__lbw_63__train__00003967,AAPL,63,train,2020-09-18T00:00:00,2020-12-16T00:00:00,3967,4029
