sequence_id,asset_id,lbw,split,sequence_index,start_timestamp,end_timestamp,start_timeline_index,end_timeline_index,row_count
AUS200.cash__lbw_252__train__00000313,AUS200.cash,252,train,0,2020-05-29T00:00:00,2020-08-25T00:00:00,313,375,63
AUS200.cash__lbw_252__train__00000376,AUS200.cash,252,train,1,2020-08-26T00:00:00,2020-11-20T00:00:00,376,438,63
AUS200.cash__lbw_252__train__00000439,AUS200.cash,252,train,2,2020-11-23T00:00:00,2021-02-22T00:00:00,439,501,63
AUS200.cash__lbw_252__train__00000502,AUS200.cash,252,train,3,2021-02-23T00:00:00,2021-05-24T00:00:00,502,564,63
AUS200.cash__lbw_252__train__00000565,AUS200.cash,252,train,4,2021-05-25T00:00:00,2021-08-19T00:00:00,565,627,63
AUS200.cash__lbw_252__train__00000628,AUS200.cash,252,train,5,2021-08-20T00:00:00,2021-11-16T00:00:00,628,690,63
AUS200.cash__lbw_252__train__00000691,AUS200.cash,252,train,6,2021-11-17T00:00:00,2022-02-16T00:00:00,691,753,63
AUS200.cash__lbw_252__train__00000754,AUS200.cash,252,train,7,2022-02-17T00:00:00,2022-05-18T00:00:00,754,816,63
AUS200.cash__lbw_252__train__00000817,AUS200.cash,252,train,8,2022-05-19T00:00:00,2022-08-16T00:00:00,817,879,63
AUS200.cash__lbw_252__train__00000880,AUS200.cash,252,train,9,2022-08-17T00:00:00,2022-11-11T00:00:00,880,942,63
AUS200.cash__lbw_252__train__00000943,AUS200.cash,252,train,10,2022-11-14T00:00:00,2023-02-13T00:00:00,943,1005,63
AUS200.cash__lbw_252__train__00001006,AUS200.cash,252,train,11,2023-02-14T00:00:00,2023-05-15T00:00:00,1006,1068,63
AUS200.cash__lbw_252__train__00001069,AUS200.cash,252,train,12,2023-05-16T00:00:00,2023-08-10T00:00:00,1069,1131,63
AUS200.cash__lbw_252__train__00001132,AUS200.cash,252,train,13,2023-08-11T00:00:00,2023-11-07T00:00:00,1132,1194,63
AUS200.cash__lbw_252__train__00001195,AUS200.cash,252,train,14,2023-11-08T00:00:00,2024-02-07T00:00:00,1195,1257,63
AUS200.cash__lbw_252__train__00001258,AUS200.cash,252,train,15,2024-02-08T00:00:00,2024-05-08T00:00:00,1258,1320,63
AUS200.cash__lbw_252__train__00001321,AUS200.cash,252,train,16,2024-05-09T00:00:00,2024-08-05T00:00:00,1321,1383,63
AUS200.cash__lbw_252__train__00001384,AUS200.cash,252,train,17,2024-08-06T00:00:00,2024-10-31T00:00:00,1384,1446,63
AUS200.cash__lbw_252__train__00001447,AUS200.cash,252,train,18,2024-11-01T00:00:00,2025-02-03T00:00:00,1447,1509,63
AUS200.cash__lbw_252__train__00001510,AUS200.cash,252,train,19,2025-02-04T00:00:00,2025-05-05T00:00:00,1510,1572,63
AUS200.cash__lbw_252__validation__00001633,AUS200.cash,252,validation,0,2025-07-29T00:00:00,2025-10-23T00:00:00,1633,1695,63
AUS200.cash__lbw_252__validation__00001696,AUS200.cash,252,validation,1,2025-10-24T00:00:00,2026-01-23T00:00:00,1696,1758,63
ADAUSD__lbw_252__train__00000313,ADAUSD,252,train,0,2022-07-20T00:00:00,2022-09-20T00:00:00,313,375,63
ADAUSD__lbw_252__train__00000376,ADAUSD,252,train,1,2022-09-21T00:00:00,2022-11-22T00:00:00,376,438,63
ADAUSD__lbw_252__train__00000439,ADAUSD,252,train,2,2022-11-23T00:00:00,2023-01-24T00:00:00,439,501,63
ADAUSD__lbw_252__train__00000502,ADAUSD,252,train,3,2023-01-25T00:00:00,2023-03-28T00:00:00,502,564,63
ADAUSD__lbw_252__train__00000565,ADAUSD,252,train,4,2023-03-29T00:00:00,2023-05-30T00:00:00,565,627,63
ADAUSD__lbw_252__train__00000628,ADAUSD,252,train,5,2023-05-31T00:00:00,2023-08-02T00:00:00,628,690,63
ADAUSD__lbw_252__train__00000691,ADAUSD,252,train,6,2023-08-03T00:00:00,2023-10-04T00:00:00,691,753,63
ADAUSD__lbw_252__train__00000754,ADAUSD,252,train,7,2023-10-05T00:00:00,2023-12-06T00:00:00,754,816,63
ADAUSD__lbw_252__train__00000817,ADAUSD,252,train,8,2023-12-07T00:00:00,2024-02-07T00:00:00,817,879,63
ADAUSD__lbw_252__train__00000880,ADAUSD,252,train,9,2024-02-08T00:00:00,2024-04-10T00:00:00,880,942,63
ADAUSD__lbw_252__train__00000943,ADAUSD,252,train,10,2024-04-11T00:00:00,2024-06-12T00:00:00,943,1005,63
ADAUSD__lbw_252__train__00001006,ADAUSD,252,train,11,2024-06-13T00:00:00,2024-08-14T00:00:00,1006,1068,63
ADAUSD__lbw_252__train__00001069,ADAUSD,252,train,12,2024-08-15T00:00:00,2024-10-16T00:00:00,1069,1131,63
ADAUSD__lbw_252__train__00001132,ADAUSD,252,train,13,2024-10-17T00:00:00,2024-12-18T00:00:00,1132,1194,63
ADAUSD__lbw_252__train__00001195,ADAUSD,252,train,14,2024-12-19T00:00:00,2025-02-19T00:00:00,1195,1257,63
ADAUSD__lbw_252__train__00001258,ADAUSD,252,train,15,2025-02-20T00:00:00,2025-04-23T00:00:00,1258,1320,63
ADAUSD__lbw_252__train__00001321,ADAUSD,252,train,16,2025-04-24T00:00:00,2025-06-25T00:00:00,1321,1383,63
ADAUSD__lbw_252__train__00001384,ADAUSD,252,train,17,2025-06-26T00:00:00,2025-08-29T00:00:00,1384,1446,63
ADAUSD__lbw_252__validation__00001492,ADAUSD,252,validation,0,2025-10-16T00:00:00,2025-12-17T00:00:00,1492,1554,63
ADAUSD__lbw_252__validation__00001555,ADAUSD,252,validation,1,2025-12-18T00:00:00,2026-02-18T00:00:00,1555,1617,63
AVAUSD__lbw_252__train__00000313,AVAUSD,252,train,0,2021-08-01T00:00:00,2021-10-02T00:00:00,313,375,63
AVAUSD__lbw_252__train__00000376,AVAUSD,252,train,1,2021-10-03T00:00:00,2021-12-04T00:00:00,376,438,63
AVAUSD__lbw_252__train__00000439,AVAUSD,252,train,2,2021-12-05T00:00:00,2022-02-05T00:00:00,439,501,63
AVAUSD__lbw_252__train__00000502,AVAUSD,252,train,3,2022-02-06T00:00:00,2022-04-09T00:00:00,502,564,63
AVAUSD__lbw_252__train__00000565,AVAUSD,252,train,4,2022-04-10T00:00:00,2022-06-11T00:00:00,565,627,63
AVAUSD__lbw_252__train__00000628,AVAUSD,252,train,5,2022-06-12T00:00:00,2022-08-13T00:00:00,628,690,63
AVAUSD__lbw_252__train__00000691,AVAUSD,252,train,6,2022-08-14T00:00:00,2022-10-15T00:00:00,691,753,63
AVAUSD__lbw_252__train__00000754,AVAUSD,252,train,7,2022-10-16T00:00:00,2022-12-17T00:00:00,754,816,63
AVAUSD__lbw_252__train__00000817,AVAUSD,252,train,8,2022-12-18T00:00:00,2023-02-18T00:00:00,817,879,63
AVAUSD__lbw_252__train__00000880,AVAUSD,252,train,9,2023-02-19T00:00:00,2023-04-22T00:00:00,880,942,63
AVAUSD__lbw_252__train__00000943,AVAUSD,252,train,10,2023-04-23T00:00:00,2023-06-24T00:00:00,943,1005,63
AVAUSD__lbw_252__train__00001006,AVAUSD,252,train,11,2023-06-25T00:00:00,2023-08-26T00:00:00,1006,1068,63
AVAUSD__lbw_252__train__00001069,AVAUSD,252,train,12,2023-08-27T00:00:00,2023-10-28T00:00:00,1069,1131,63
AVAUSD__lbw_252__train__00001132,AVAUSD,252,train,13,2023-10-29T00:00:00,2023-12-30T00:00:00,1132,1194,63
AVAUSD__lbw_252__train__00001195,AVAUSD,252,train,14,2023-12-31T00:00:00,2024-03-02T00:00:00,1195,1257,63
AVAUSD__lbw_252__train__00001258,AVAUSD,252,train,15,2024-03-03T00:00:00,2024-05-04T00:00:00,1258,1320,63
AVAUSD__lbw_252__train__00001321,AVAUSD,252,train,16,2024-05-05T00:00:00,2024-07-06T00:00:00,1321,1383,63
AVAUSD__lbw_252__train__00001384,AVAUSD,252,train,17,2024-07-07T00:00:00,2024-09-07T00:00:00,1384,1446,63
AVAUSD__lbw_252__train__00001447,AVAUSD,252,train,18,2024-09-08T00:00:00,2024-11-09T00:00:00,1447,1509,63
AVAUSD__lbw_252__train__00001510,AVAUSD,252,train,19,2024-11-10T00:00:00,2025-01-11T00:00:00,1510,1572,63
AVAUSD__lbw_252__train__00001573,AVAUSD,252,train,20,2025-01-12T00:00:00,2025-03-15T00:00:00,1573,1635,63
AVAUSD__lbw_252__train__00001636,AVAUSD,252,train,21,2025-03-16T00:00:00,2025-05-17T00:00:00,1636,1698,63
AVAUSD__lbw_252__train__00001699,AVAUSD,252,train,22,2025-05-18T00:00:00,2025-07-21T00:00:00,1699,1761,63
AVAUSD__lbw_252__validation__00001808,AVAUSD,252,validation,0,2025-09-10T00:00:00,2025-11-11T00:00:00,1808,1870,63
AVAUSD__lbw_252__validation__00001871,AVAUSD,252,validation,1,2025-11-12T00:00:00,2026-01-13T00:00:00,1871,1933,63
BCHUSD__lbw_252__train__00000313,BCHUSD,252,train,0,2018-07-31T00:00:00,2018-10-01T00:00:00,313,375,63
BCHUSD__lbw_252__train__00000376,BCHUSD,252,train,1,2018-10-02T00:00:00,2018-12-03T00:00:00,376,438,63
BCHUSD__lbw_252__train__00000439,BCHUSD,252,train,2,2018-12-04T00:00:00,2019-02-04T00:00:00,439,501,63
BCHUSD__lbw_252__train__00000502,BCHUSD,252,train,3,2019-02-05T00:00:00,2019-04-08T00:00:00,502,564,63
BCHUSD__lbw_252__train__00000565,BCHUSD,252,train,4,2019-04-09T00:00:00,2019-06-10T00:00:00,565,627,63
BCHUSD__lbw_252__train__00000628,BCHUSD,252,train,5,2019-06-11T00:00:00,2019-08-12T00:00:00,628,690,63
BCHUSD__lbw_252__train__00000691,BCHUSD,252,train,6,2019-08-13T00:00:00,2019-10-14T00:00:00,691,753,63
BCHUSD__lbw_252__train__00000754,BCHUSD,252,train,7,2019-10-15T00:00:00,2019-12-16T00:00:00,754,816,63
